class,class_index,class_name
n02981792,241,catamaran
n04149813,729,scoreboard
n04146614,962,school_bus
n04515003,334,upright
n07584110,844,consomme
n02120079,159,Arctic_fox
n13054560,981,bolete
n02457408,38,three-toed_sloth
n04243546,557,slot
n03400231,671,frying_pan
n01532829,388,house_finch
n03075370,583,combination_lock
n02129165,190,lion
n03924679,789,photocopier
n09256479,365,coral_reef
n04258138,577,solar_dish
n03908618,842,pencil_box
n04275548,600,spider_web
n02091244,204,Ibizan_hound
n03998194,769,prayer_rug
n04251144,507,snorkel
n02113712,49,miniature_poodle
n02110063,15,malamute
n02795169,905,barrel
n03220513,897,dome
n02966193,568,carousel
n03888605,994,parallel_bars
n01843383,417,toucan
n02174001,627,rhinoceros_beetle
n03838899,354,oboe
n03146219,865,cuirass
n02871525,706,bookshop
n03854065,333,organ
n03676483,867,lipstick
n01981276,616,king_crab
n02165456,622,ladybug
n04509417,292,unicycle
n03980874,855,poncho
n03535780,924,horizontal_bar
n01910747,647,jellyfish
n02687172,246,aircraft_carrier
n03770439,880,miniskirt
n02108089,130,boxer
n01770081,602,harvestman
n02074367,193,dugong
n02110341,41,dalmatian
n03207743,821,dishrag
n02950826,539,cannon
n02219486,224,ant
n04435653,780,tile_roof
n03047690,979,clog
n04596742,672,wok
n04522168,874,vase
n02091831,66,Saluki
n04604644,723,worm_fence
n02971356,749,carton
n01855672,420,goose
n04389033,250,tank
n02108551,110,Tibetan_mastiff
n02099601,125,golden_retriever
n04296562,804,stage
n01930112,651,nematode
n07613480,793,trifle
n04418357,903,theater_curtain
n02116738,202,African_hunting_dog
n02108915,82,French_bulldog
n04612504,240,yawl
n03062245,761,cocktail_shaker
n02101006,154,Gordon_setter
n03127925,898,crate
n03476684,581,hair_slide
n07697537,885,hotdog
n04443257,710,tobacco_shop
n04067472,570,reel
n02747177,752,ashcan
n03773504,251,missile
n02443484,40,black-footed_ferret
n03017168,335,chime
n13133613,329,ear
n03527444,787,holster
n02114548,102,white_wolf
n02823428,777,beer_bottle
n03584254,980,iPod
n03544143,525,hourglass
n03347037,919,fire_screen
n07747607,319,orange
n02089867,18,Walker_hound
n02138441,35,meerkat
n01749939,489,green_mamba
n02105505,97,komondor
n03272010,346,electric_guitar
n01558993,391,robin
n01704323,474,triceratops
n06794110,932,street_sign
n02606052,452,rock_beauty
n02111277,60,Newfoundland
n03775546,829,mixing_bowl
n03337140,305,file
n09246464,359,cliff
n03417042,280,garbage_truck
